	place	lon	lat
0	茨城	36.3418112	140.4467935
1	栃木	36.565725	139.8835651
2	群馬	36.3906675	139.0604061
3	埼玉	35.8569991	139.6488487
4	千葉	35.6050574	140.1233063
5	東京	35.7090259	139.7319925
6	神奈川	35.4475073	139.6423446
7	東海地區	35.0228426	136.90253
8	富士山靜岡空港	34.7971742	138.1805917
9	掛川	34.7687667	137.998168
10	御前崎	34.6379866	138.1281269
11	日本平空中纜車	34.9742276	138.4655981
12	久能山東照宮	34.964846	138.467599
13	箱根海賊船	35.1900114	139.024514
14	箱根町	35.2323553	139.1069375
15	元箱根	35.2032764	139.0309592
16	箱根神社	35.204796	139.025388
17	大紅鳥居	 	 
18	御殿場	35.3085842	138.9345062
19	富士山麓溫泉區	 	 
20	忍野八海	35.4607382	138.8329494
21	清里高原	35.9345185	138.4199395
22	萌木之村	35.915191	138.442784
23	野邊山車站	35.955285	138.474421
24	輕井澤PRINCE OUTLET	36.3414309	138.6380481
25	長野地區溫泉鄉	36.741638	138.414728
26	群馬地區溫泉鄉	36.6862811	138.7743402
27	白絲瀑布	35.3129923	138.5873496
28	聖保羅教堂	51.5138453	-0.0983506
29	舊輕井澤銀座	36.3573715	138.6343195
30	CHURCH STREET	33.793823	-84.2630351
31	藏造傳統建築	 	 
32	菓子屋橫町	35.9243763	139.4815753
33	時之鐘	 	 
34	東京	35.7090259	139.7319925
35	淺草觀音寺	35.7147651	139.7966553
36	雷門	35.7110584	139.7963664
37	仲見世通傳統商店街散策	 	 
38	東京天空樹	35.7100627	139.8107004
39	Sky Tree	35.7100627	139.8107004
40	湘南海岸	35.31374150000001	139.4752678
41	古都鎌倉歷史散策∼鶴岡八幡宮	 	 
42	若宮大道	 	 
43	源平池	35.3238675	139.5553438
44	高德院	35.3166995	139.5361536
45	國寶鎌倉大佛	35.3166995	139.5361536
46	東伊豆沿海溫泉鄉	 	 
47	伊豆半島	34.856636	138.938598
48	大室山登山吊車	34.9031665	139.0944694
49	淨蓮瀑布	34.8718567	138.9221272
50	川端康成	35.3269132	139.5656337
51	伊豆舞孃紀念像	 	 
52	修善寺	34.972574	138.933039
53	竹林小徑	35.0177597	135.6742103
54	獨鈷之湯	34.970431	138.9275465
55	清水港夢幻廣場	35.0087977	138.4951507
56	靜岡機場	34.7971742	138.1805917
57	成田國際空港	35.7719867	140.3928501
58	羽田空港	35.5493932	139.7798386
59	成田山新勝寺	35.786095	140.318286
60	甲府武田神社八岳高原	 	 
61	石和溫泉	35.6518656	138.635545
